word,gender,idf,meanfreq,has_a,has_e,has_i,has_o,has_u,has_y
"avis1","f","0.707607414567408","4.241606714628298",1,0,1,0,0,0
"avunculus1","m","2.04518877376626","2.6545454545454548",1,0,0,0,1,0
"avus1","m","0.676801367786233","3.9724178403755857",1,0,0,0,1,0
"baca1","f","2.54114626842867","4.487179487179487",1,0,0,0,0,0
"Bacchus1","m","2.07166098512745","6.064814814814815",1,0,0,0,1,0
"baculum1","n","2.54114626842867","2.58974358974359",1,0,0,0,1,0
"Baiae1","f","3.12610876914982","2.9615384615384617",1,1,1,0,0,0
"balatus1","m","4.82654848729092","1.3125",1,0,0,0,1,0
"balsamum1","n","3.6566234858486","3.5",1,0,0,0,1,0
"balteus1","m","3.07166098512745","2.3703703703703702",1,1,0,0,1,0
"barba1","f","1.24158598656976","2.8385416666666665",1,0,0,0,0,0
"barbatus1","m","3.12610876914982","2.0384615384615383",1,0,0,0,1,0
"basium1","n","3.50462039240355","2.875",1,0,1,0,1,0
"bellum1","n","0.189923866747266","31.751256281407027",0,1,0,0,1,0
"belua1","f","1.24158598656976","3.5625",1,1,0,0,1,0
"beneficium1","n","0.815321231867661","15.077519379844961",0,1,1,0,1,0
"benevolentia1","f","1.94390543792907","4.076271186440678",1,1,1,1,0,0
"bestia1","f","1.28738967618288","4.086021505376344",1,1,1,0,0,0
"bibliotheca1","f","3.01919356523331","2.9285714285714284",1,1,1,1,0,0
"biennium1","n","1.67680136778623","3.7746478873239435",0,1,1,0,1,0
"blanditia1","f","1.99365847312617","2.3508771929824563",1,0,1,0,0,0
"bombus1","m","4.6566234858486","1.2222222222222223",0,0,0,1,1,0
"boreas1","m","2.46899648267283","3.6097560975609757",1,1,0,1,0,0
"bos1","m","0.98105843634654","9.660869565217391",0,0,0,1,0,0
"bovis1","f","1.54114626842867","1.858974358974359",0,0,1,1,0,0
"bracchium1","n","1.16833700453912","7.237623762376238",1,0,1,0,1,0
"brevis1","m","0.350815056324517","10.910112359550562",0,1,1,0,0,0
"bruma1","f","2.07166098512745","3.8703703703703702",1,0,0,0,1,0
"bubo1","f","3.6566234858486","3.0555555555555554",0,0,0,1,1,0
"bucina1","f","2.96856749216334","1.6551724137931034",1,0,1,0,1,0
"bulla1","f","3.6566234858486","1.8333333333333333",1,0,0,0,1,0
"bustum1","n","2.18269229751619","3.64",0,0,0,0,1,0
"cachinnus1","m","3.73908564604058","1.7647058823529411",1,0,1,0,1,0
"cacumen1","n","1.96856749216334","4.689655172413793",1,1,0,0,1,0
"cadus1","m","3.18269229751619","2.66",1,0,0,0,1,0
"caedes1","f","0.597729796795034","8.86",1,1,0,0,0,0
"caelestis1","m","1.21183864317571","7.1938775510204085",1,1,1,0,0,0
"caelum1","n","0.358942937207918","9.30225988700565",1,1,0,0,1,0
"caenum1","n","1.9196578916824","1.65",1,1,0,0,1,0
"calamitas1","f","1.35081505632452","5.213483146067416",1,0,1,0,0,0
